Alloy_Name,B,C,N,Mg,Al,Si,P,S,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Y,Nb,Mo,Ce,Gd,Ta,W,Re,Electrolyte,Cl_M,pH,Temp_C,Test_Method,Ref_Electrode,E_corr_mV,I_corr_uA_per_cm2,ba_mV_per_dec,bc_mV_per_dec,CR_um_per_y,Paper_Name,DOI,Notes
,0.0,,,,10.5,,,,0.0,0.0,20.2,,21.7,22.9,0.0,24.7,,0.0,0.0,0.0,,0.0,0.0,0.0,0.6M NaCl,0.6,7.0,25.0,polarization,SCE,-264.0,0.967,,,,"Y. Qiu, M.A. Gibson, H.L. Fraser & N. Birbilis.  Materials Science and Technology, 31:10 (2015), 1235-1243.",﻿10.1179/1743284715Y.0000000026,Material class: HEA; Scan Rate: 1; Microstructures: FCC and BCC; Method: Anodic (EC-Lab) ; Comments: None
,0.0,,,,28.0,,,,49.0,11.0,0.0,,8.0,0.0,4.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.6M NaCl,0.6,7.0,25.0,polarization,SCE,-388.0,0.037,,,,"Y. Qiu, M.A. Gibson, H.L. Fraser & N. Birbilis.  Materials Science and Technology, 31:10 (2015), 1235-1243.",﻿10.1179/1743284715Y.0000000026,Material class: HEA; Scan Rate: 1; Method: Anodic (EC-Lab) ; Comments: None
,0.0,,,,13.0,14.0,,,23.0,25.0,25.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.6M NaCl,0.6,7.0,25.0,polarization,SCE,-498.0,0.168,,,,"Y. Qiu, M.A. Gibson, H.L. Fraser & N. Birbilis.  Materials Science and Technology, 31:10 (2015), 1235-1243.",﻿10.1179/1743284715Y.0000000026,Material class: HEA; Scan Rate: 1; Method: Anodic (EC-Lab) ; Comments: None
,0.0,,,,9.0,,,,0.0,0.0,21.0,,22.0,24.0,24.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.6M NaCl,0.6,7.0,25.0,polarization,SCE,-217.0,0.093,,,,"Y. Qiu, M.A. Gibson, H.L. Fraser & N. Birbilis.  Materials Science and Technology, 31:10 (2015), 1235-1243.",﻿10.1179/1743284715Y.0000000026,Material class: HEA; Scan Rate: 1; Microstructures: FCC and BCC; Method: Anodic (EC-Lab) ; Comments: None
,0.0,,,,0.0,,,,0.0,0.0,23.0,,25.0,26.0,26.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.6M NaCl,0.6,7.0,25.0,polarization,SCE,-304.0,0.61,,,,"Y. Qiu, M.A. Gibson, H.L. Fraser & N. Birbilis.  Materials Science and Technology, 31:10 (2015), 1235-1243.",﻿10.1179/1743284715Y.0000000026,Material class: HEA; Scan Rate: 1; Microstructures: FCC and Intermetallic Compound rich in Cr; Method: Anodic (EC-Lab) ; Comments: None
,0.0,,,,0.0,,,,8.0,0.0,21.0,,23.0,24.0,24.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.6M NaCl,0.6,7.0,25.0,polarization,SCE,-273.0,0.036,,,,"Y. Qiu, M.A. Gibson, H.L. Fraser & N. Birbilis.  Materials Science and Technology, 31:10 (2015), 1235-1243.",﻿10.1179/1743284715Y.0000000026,Material class: HEA; Scan Rate: 1; Method: Anodic (EC-Lab) ; Comments: None
,0.0,,,,4.5,,,,0.0,0.0,17.2,,18.5,19.5,19.4,21.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 1N H2SO4,0.0,0.0,25.0,Polarization,SCE,-356.0,787.0,,,,"C.P. Lee, Y.Y. Chen, C.Y.Hsu, J.W.Yeh, and H.C. Shih. Journal of The Electrochemical Society,154 (8) (2007),  C424-C430.",﻿10.1149/1.2744133,"Material class: HEA; Scan Rate: 1; Microstructures: FCC; Method: Cyclic, Anodic (Autolab), Nyquist Curves; Oxide: Cr2O3; Comments: None"
,0.7,,,,4.4,,,,0.0,0.0,17.1,,18.3,19.3,19.3,20.9,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 1N H2SO4,0.0,0.0,25.0,Polarization,SCE,-362.0,1025.0,,,,"C.P. Lee, Y.Y. Chen, C.Y.Hsu, J.W.Yeh, and H.C. Shih. Journal of The Electrochemical Society,154 (8) (2007),  C424-C430.",﻿10.1149/1.2744133,"Material class: HEA; Scan Rate: 1; Microstructures: FCC and Borides; Method: Anodic (Autolab), Nyquist Curves; Oxide: Cr2O3; Comments: None"
,2.1,,,,4.4,,,,0.0,0.0,16.8,,18.1,19.1,19.0,20.6,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 1N H2SO4,0.0,0.0,25.0,Polarization,SCE,-389.0,2626.0,,,,"C.P. Lee, Y.Y. Chen, C.Y.Hsu, J.W.Yeh, and H.C. Shih. Journal of The Electrochemical Society,154 (8) (2007),  C424-C430.",﻿10.1149/1.2744133,"Material class: HEA; Scan Rate: 1; Microstructures: FCC and Borides; Method: Anodic (Autolab), Nyquist Curves; Oxide: Cr2O3; Comments: None"
,3.5,,,,4.3,,,,0.0,0.0,16.6,,17.8,18.8,18.7,20.3,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 1N H2SO4,0.0,0.0,25.0,Polarization,SCE,-400.0,2848.0,,,,"C.P. Lee, Y.Y. Chen, C.Y.Hsu, J.W.Yeh, and H.C. Shih. Journal of The Electrochemical Society,154 (8) (2007),  C424-C430.",﻿10.1149/1.2744133,"Material class: HEA; Scan Rate: 1; Microstructures: FCC and Borides; Method: Anodic (Autolab), Nyquist Curves; Oxide: Cr2O3; Comments: None"
,0.0,,,,0.0,,,,0.0,0.0,25.12,,24.58,24.9,25.92,,,0.0,0.0,0.0,,0.0,0.0,0.0,3.5% NaCl,0.6128,7.0,25.0,"polarization, immersion",SCE,-260.0,0.0315,,,0.762,"Yu-Jui Hsu, Wen-Chi Chiang, and Jiann-Kuo Wu. Materials Chemistry and Physics,92 (2005) , 112-117",﻿10.1016/j.matchemphys.2005.01.001,"TF Rate(mm/y): 3.310e-04; Material class: HEA; Scan Rate: 1; Microstructures: Cu rich FCC; Method: Anodic (Luggin Probe), Weight LossWL, Tafel and Faraday's lawTF; Comments: None"
,0.0,,,,0.0,,,,0.0,0.0,16.48,,20.47,23.99,25.48,13.49,,0.0,0.0,0.0,,0.0,0.0,0.0,3.5% NaCl,0.6128,7.0,25.0,"polarization, immersion",SCE,-290.0,0.723,,,8.89,"Yu-Jui Hsu, Wen-Chi Chiang, and Jiann-Kuo Wu. Materials Chemistry and Physics,92 (2005) , 112-117",﻿10.1016/j.matchemphys.2005.01.001,"TF Rate(mm/y): 7.460e-03; Material class: HEA; Scan Rate: 1; Microstructures: Cu rich FCC; Method: Anodic (Luggin Probe), Weight LossWL, Tafel and Faraday's lawTF; Comments: None"
,0.0,,,,0.0,,,,0.0,0.0,16.25,,18.78,21.5,21.78,21.69,,0.0,0.0,0.0,,0.0,0.0,0.0,3.5% NaCl,0.6128,7.0,25.0,"polarization, immersion",SCE,-330.0,1.32,,,11.4,"Yu-Jui Hsu, Wen-Chi Chiang, and Jiann-Kuo Wu. Materials Chemistry and Physics,92 (2005) , 112-117",﻿10.1016/j.matchemphys.2005.01.001,"TF Rate(mm/y): 1.370e-02; Material class: HEA; Scan Rate: 1; Microstructures: Cu rich FCC; Method: Anodic (Luggin Probe), Weight LossWL, Tafel and Faraday's lawTF; Comments: None"
,0.0,0.03,,,8.63,8.99,0.006,0.003,0.0,0.0,16.65,,17.87,18.86,18.79,10.17,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 0.1M NaCl,0.1,7.0,25.0,polarization,SCE,10.0,0.178,,,1.3,"Y.Y. Chen, T. Duval, U.D. Hung, J.W. Yeh, H.C. Shih. Corrosion Science, 47 (2005), 2257-2279",﻿10.1016/j.corsci.2004.11.008,"Material class: HEA; Scan Rate: 1; Microstructures: BCC with some amorphous structure; Method: Anodic (EG&G model 273),Faradays law; Comments: None"
,0.0,0.03,,,8.63,8.99,0.006,0.003,0.0,0.0,16.65,,17.87,18.86,18.79,10.17,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 1 M NaCl,1.0,7.4,25.0,polarization,SCE,-530.0,3.16,,,23.9,"Y.Y. Chen, T. Duval, U.D. Hung, J.W. Yeh, H.C. Shih. Corrosion Science, 47 (2005), 2257-2279",﻿10.1016/j.corsci.2004.11.008,"Material class: HEA; Scan Rate: 1; Microstructures: BCC with some amorphous structure; Method: Anodic (EG&G model 273),Faradays law; Comments: None"
,0.0,0.03,,,8.63,8.99,0.006,0.003,0.0,0.0,16.65,,17.87,18.86,18.79,10.17,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 0.1M H2SO4,0.0,1.0,25.0,polarization,SCE,-60.0,10.7,,,81.0,"Y.Y. Chen, T. Duval, U.D. Hung, J.W. Yeh, H.C. Shih. Corrosion Science, 47 (2005), 2257-2279",﻿10.1016/j.corsci.2004.11.008,"Material class: HEA; Scan Rate: 1; Microstructures: BCC with some amorphous structure; Method: Anodic (EG&G model 273),Faradays law; Comments: None"
,0.0,0.03,,,8.63,8.99,0.006,0.003,0.0,0.0,16.65,,17.87,18.86,18.79,10.17,,0.0,0.0,0.0,,0.0,0.0,0.0,Deaerated 1N H2SO4,0.0,0.5,25.0,polarization,SCE,-170.0,251.0,,,1899.6,"Y.Y. Chen, T. Duval, U.D. Hung, J.W. Yeh, H.C. Shih. Corrosion Science, 47 (2005), 2257-2279",﻿10.1016/j.corsci.2004.11.008,"Material class: HEA; Scan Rate: 1; Microstructures: BCC with some amorphous structure; Method: Anodic (EG&G model 273),Faradays law; Comments: None"
,0.0,,,,5.6,,,,0.0,0.0,21.8,,23.4,24.7,24.6,,,0.0,0.0,0.0,,0.0,0.0,0.0,3.5% NaCl,0.6128,7.0,25.0,polarization,SCE,-560.0,6.4,,,,"Chun-Ming Lin and Hsien-Lung Tsai. Intermetallics, 19 (2011), 288-294.",﻿10.1016/j.intermet.2010.10.008,Material class: HEA; Scan Rate: 1; Heat treatment: Aged in Ar for 24 hrs @ 350C; Microstructures: FCC and BCC; Method: Anodic; Comments: None
,0.0,,,,5.6,,,,0.0,0.0,21.8,,23.4,24.7,24.6,,,0.0,0.0,0.0,,0.0,0.0,0.0,3.5% NaCl,0.6128,7.0,25.0,polarization,SCE,-300.0,1.58,,,,"Chun-Ming Lin and Hsien-Lung Tsai. Intermetallics, 19 (2011), 288-294.",﻿10.1016/j.intermet.2010.10.008,Material class: HEA; Scan Rate: 1; Heat treatment: Aged in Ar for 24 hrs @ 500C; Microstructures: FCC and BCC; Method: Anodic; Comments: None
